Part Number,Mfg Name,VID,Vendor Part Num,Description,Customer Ref,Part Value,Qty-1,Qty-5,Qty-25,Part References,Value
ERJ-2RKF1002X,Panasonic,DK,P10.0KLCT-ND,RES SMD 10K OHM 1% 1/10W 0402,res083,10k,57,285,1425,"R1, R2, R3, R3X, R4, R4X, R7, R11, R13, R13-2, R14, R14-2, R15X, R19, R22, R25, R33, R33-2, R36, R42, R43, R44, R50, R50-2, R51, R51-2, R52, R52-2, R59, R59-2, R70X, R98, R99, R100, R102, R103, R109, R117, R117-2, R134, R135, R138, R143X, R144, R145, R149, R157, R169, R170, R174, R181, R183, R186, R192, R194, R210, R222X",10k
GRM155R71E103KA01D,Murata,DK,490-1312-1-ND,CAP CER 10000PF 25V 10% X7R 0402,capcer050,10n,7,35,175,"C33, C37, C58, C89, C89-2, C93, C104",10n
GRM155R71E103KA01D,Murata,DK,490-1312-1-ND,CAP CER 10000PF 25V 10% X7R 0402,capcer050,10n,12,60,300,"C38, C38-2, C41, C41-2, C43, C43-2, C51, C51-2, C55, C55-2, C73, C73-2",10n
GRM155R71E103KA01D,Murata,DK,490-1312-1-ND,CAP CER 10000PF 25V 10% X7R 0402,capcer050,10n,1,5,25,C207,10n
GRM1555C1H100FA01D,Murata,DK,490-6186-1-ND,CAP CER 10PF 50V 1% NP0 0402,capcer051,10p,4,20,100,"C90, C90-2, C91, C91-2",10p
GRM21BR71A106KA73L,Murata,DK,490-10516-1-ND,CAP CER 10UF 10V 10% X7R 0805,capcer053,10u,9,45,225,"C170, C184, C188, C191, C195, C198, C203, C210, C211",10u
GRM188R61C106MA73D,Murata,DK,490-7201-1-ND,CAP CER 10UF 16V 20% X5R 0603,capcer052,10u,19,95,475,"C1, C1-2, C3, C3-2, C4, C4-2, C6, C6-2, C7, C8, C9, C10, C11, C12, C18, C19, C25, C25-2, C218X",10u
ERJ-2RKF1202X,Panasonic,DK,P12.0KLCT-ND,RES SMD 12K OHM 1% 1/10W 0402,res084,12k,8,40,200,"R28, R176, R178, R180, R187, R188, R190, R212",12k
ERJ-2RKF1372X,Panasonic,DK,P13.7KLCT-ND,RES SMD 13.7K OHM 1% 1/10W 0402,res085,13.7k,1,5,25,R11X,13.7k
ERJ-2RKF1502X,Panasonic,DK,P15.0KLCT-ND,RES SMD 15K OHM 1% 1/10W 0402,res086,15k,1,5,25,R211,15k
ERJ-2RKF1802X,Panasonic,DK,P18.0KLCT-ND,RES SMD 18K OHM 1% 1/10W 0402,res087,18k,1,5,25,R172,18k
GRM155R71H183KA12D,Murata,DK,490-6356-1-ND,CAP CER 0.018UF 50V 10% X7R 0402,capcer054,18n,1,5,25,C208,18n
ERJ-2RKF2052X,Panasonic,DK,P20.5KLCT-ND,RES SMD 20.5K OHM 1% 1/10W 0402,res088,20.5k,1,5,25,R125X,20.5k
ERJ-2RKF2202X,Panasonic,DK,P22.0KLCT-ND,RES SMD 22K OHM 1% 1/10W 0402,res089,22k,2,10,50,"R207, R209",22k
GRM1555C2A220JA01D,Murata,DK,490-7303-1-ND,CAP CER 22PF 100V 5% NP0 0402,capcer055,22p,3,15,75,"C171, C190, C200",22p
GRM31CR71A226KE15L,Murata,DK,490-5309-1-ND,CAP CER 22UF 10V 10% X7R 1206,capcer056,22u,3,15,75,"C21X, C94X, C183",22u
GRM32ER71E226ME15L,Murata,DK,490-10758-1-ND,CAP CER 22UF 25V 20% X7R 1210,capcer066,22u,2,10,50,"C23X, C99X",22u
AT24C64D-SSHM-T,Atmel,DK,AT24C64D-SSHM-TCT-ND,IC EEPROM 64KBIT 1MHZ 8SOIC,icmem001,24C64,1,5,25,U10X,24C64SM
SSPT7F-12.5PF20-R,Seiko Instruments,DK,728-1064-1-ND,CRYSTAL 32.7680KHZ 12.5PF SMD,xtal001,32.768kHz,2,10,50,"Y1, Y1-2",32.768kHz
ERJ-2RKF33R0X,Panasonic,DK,P33.0LCT-ND,RES SMD 33 OHM 1% 1/10W 0402,res105,33,8,40,200,"R39, R46, R47, R48, R49, R53, R58, R66X",33
ERJ-2RKF3322X,Panasonic,DK,P33.2KLCT-ND,RES SMD 33.2K OHM 1% 1/10W 0402,res090,33.2k,1,5,25,R65X,33.2k
ERJ-2RKF3302X,Panasonic,DK,P33.0KLCT-ND,RES SMD 33K OHM 1% 1/10W 0402,res091,33k,1,5,25,R151,33k
GRM155R71E333KA88J,Murata,DK,490-6345-1-ND,CAP CER 0.033UF 25V 10% X7R 0402,capcer057,33n,1,5,25,C175,33n
ERJ-2RKF4702X,Panasonic,DK,P47.0KLCT-ND,RES SMD 47K OHM 1% 1/10W 0402,res092,47k,4,20,100,"R159, R173, R177, R191",47k
GRM155R71H473KE14D,Murata,DK,490-10702-1-ND,CAP CER 0.047UF 50V 10% X7R 0402,capcer058,47n,1,5,25,C186,47n
GRM1555C1H470FA01D,Murata,DK,490-6241-1-ND,CAP CER 47PF 50V 1% NP0 0402,capcer059,47p,1,5,25,C178,47p
ERJ-2RKF5602X,Panasonic,DK,P56.0KLCT-ND,RES SMD 56K OHM 1% 1/10W 0402,res093,56k,1,5,25,R153,56k
SN74LVC1G175DBVT,Texas Instruments,DK,296-32298-1-ND,IC D-TYPE POS TRG SNGL SOT23-6,iclog003,SN74LVC1G175,1,5,25,U8,74LVC1G175DBVSOT95
ERJ-2RKF1000X,Panasonic,DK,P100LCT-ND,RES SMD 100 OHM 1% 1/10W 0402,res094,100,1,5,25,R205,100
ERJ-2RKF1003X,Panasonic,DK,P100KLCT-ND,RES SMD 100K OHM 1% 1/10W 0402,res095,100k,16,80,400,"R18, R18-2, R37, R37-2, R41, R41-2, R146, R147, R168, R198, R199, R200, R201, R202, R203, R204",100k
GRM1555C1H101FA01J,Murata,DK,490-7753-1-ND,CAP CER 100PF 50V 1% NP0 0402,capcer060,100p,1,5,25,C168X,100p
GRM1555C1H101FA01J,Murata,DK,490-7753-1-ND,CAP CER 100PF 50V 1% NP0 0402,capcer060,100p,4,20,100,"C174, C181, C205, C214",100p
ATCC-211B-010-107M-T,Abracon LLC,DK,ATCC-211B-010-107M-TCT-ND,TANT CAP 100.0UF 10.0V 20%,captant002,100u,2,10,50,"C13, C14",100u
AVE107M25X16T-F,CornellDubilier,DK,338-1805-1-ND,CAP ALUM 100UF 20% 25V SMD,capelec001,100u,2,10,50,"C179, C180",100u
GRM1555C1H151GA01D,Murata,DK,490-8186-1-ND,CAP CER 150PF 50V 2% NP0 0402,capcer061,150p,2,10,50,"C194, C202",150p
ERJ-2RKF1803X,Panasonic,DK,P180KLCT-ND,RES SMD 180K OHM 1% 1/10W 0402,res096,180k,3,15,75,"R152, R164, R165",180k
ERJ-2RKF2200X,Panasonic,DK,P220LCT-ND,RES SMD 220 OHM 1% 1/10W 0402,res097,220,3,15,75,"R12, R17, R76X",220
ERJ-2RKF2203X,Panasonic,DK,P220KLCT-ND,RES SMD 220K OHM 1% 1/10W 0402,res098,220k,2,10,50,"R137, R206",220k
GRM155R71C224KA12D,Murata,DK,490-5418-1-ND,CAP CER 0.22UF 16V 10% X7R 0402,capcer062,220n,1,5,25,C176,220n
GRM1555C1H221FA01D,Murata,DK,490-10684-1-ND,CAP CER 220PF 50V 1% NP0 0402,capcer063,220p,3,15,75,"C189, C197, C206",220p
ERJ-2RKF2433X,Panasonic,DK,P243KLCT-ND,RES SMD 243K OHM 1% 1/10W 0402,res099,243k,1,5,25,R126X,243k
ERJ-2RKF3300X,Panasonic,DK,P330LCT-ND,RES SMD 330 OHM 1% 1/10W 0402,res100,330,2,10,50,"R182, R193",330
ERJ-2RKF4700X,Panasonic,DK,P470LCT-ND,RES SMD 470 OHM 1% 1/10W 0402,res101,470,2,10,50,"R166, R175",470
ERJ-2RKF5600X,Panasonic,DK,P560LCT-ND,RES SMD 560 OHM 1% 1/10W 0402,res102,560,1,5,25,R167,560
ERJ-2RKF6803X,Panasonic,DK,P680KLCT-ND,RES SMD 680K OHM 1% 1/10W 0402,res103,680k,1,5,25,R208,680k
GRM155R72A681KA01D,Murata,DK,490-8262-1-ND,CAP CER 680PF 100V 10% X7R 0402,capcer064,680p,1,5,25,C212,680p
SN74LVC1G3157DBVR,Texas Instruments,DK,296-14908-1-ND,IC SWITCH SPDT SOT23-6,icmux001,SN74LVC1G3157,1,5,25,U13,741G3157DBVR
GRM1555C1H821JA01D,Murata,DK,490-3242-1-ND,CAP CER 820PF 50V 5% NP0 0402,capcer065,820p,1,5,25,C95X,820p
87409-110LF,FCI,DK,609-1553-ND,CONN HEADER 20POS .050 VERT SMD,con015,87409-110LF,2,10,50,"J5, J7",87409-110LF
ASDM1-12.000MHZ-LC-T,Abracon LLC,DK,535-9784-1-ND,OSC MEMS 12.000MHZ CMOS SMD,osc0001,12MHz,1,5,25,U14,ASDM1-12.000MHZ-LC-T
AT93C46D-TH-T,Atmel,DK,AT93C46D-TH-TCT-ND,IC EEPROM 1KBIT 2MHZ 8TSSOP,icmem003,93C46,1,5,25,U2,AT93C46A-10TQ-2.7
"*** ERROR - PART '929834-01-02-RK' NOT FOUND FOR: ""JP1""",,,,,,,,,,,
BAT54LT1G,ON Semiconductor,DK,BAT54LT1GOSCT-ND,DIODE SCHOTTKY 30V 200MA SOT23-3,diodes005,BAT54,1,5,25,D6,BAT54
BAT54SLT1G,ON Semiconductor,DK,BAT54SLT1GOSCT-ND,DIODE ARRAY SCHOTTKY 30V SOT23-3,diodes004,BAT54S,2,10,50,"D7, D8",BAT54S
BLM18AG601SN1D,Murata,DK,490-1014-1-ND,FERRITE CHIP 600 OHM 500MA 0603,fer007,BLM18AG601SN1D,12,60,300,"FB1, FB1-2, FB4, FB4-2, FB5, FB5-2, FB6, FB6-2, FB7, FB7-2, L3, L3-2",BLM18AG601SN1D
BLM21AG151SN1D,Murata,DK,490-9703-1-ND,FERRITE CHIP 150 OHM 0805,fer006,BLM21AG151SN1D,2,10,100,"FB2, FB3",BLM21AG151SN1D
BLM21PG221SN1D,Murata,DK,490-1054-1-ND,FERRITE CHIP 220 OHM 0805,fer005,BLM21PG221SN1D,3,15,75,"L1, L4, L5",BLM21P221SN1
BLM31PG121SN1L,Murata,DK,490-1056-1-ND,FERRITE CHIP 120 OHM 3500MA 1206,fer002,BLM31PG121SN1L,3,15,75,"FB12, FB13, FB14",BLM31PG121SN1L
BLM15HD601SN1D,Murata,DK,490-4002-1-ND,FILTER CHIP 600 OHM 300MA 0402,fer004,BLM15HD601SN1D,1,5,25,L8X,BML15HD601SN1
CDCLVC1108PWR,Texas Instruments,DK,296-27589-1-ND,IC CLK BUFFER 1:8 250MHZ 16TSSOP,icbuf001,CDCLVC1108,1,5,25,U15X,CDCLVC1108PWR
PJ-202A,CUI,DK,CP-202A-ND,CONN POWER JACK 2.1MM PCB,con014,PJ-202A,1,5,25,J8,DCJ0202
DM3BT-DSF-PEJS,Hirose,DK,HR1942CT-ND,CONN MICRO SD CARD PUSH-PUSH R/A,con013,DM3BT-DSF-PEJS,2,10,50,"J6, J11",DM3BT-DSF-PEJS
"*** ERROR - PART '*' NOT FOUND FOR: ""JP3", JP6, JP7," JP8""",,,,,,,,
"*** ERROR - PART '*' NOT FOUND FOR: ""JP2""",,,,,,,,,,,
FT2232HL-REEL,FTDI,DK,768-1024-1-ND,IC USB HS DUAL UART/FIFO 64-LQFP,icif001,FT2232HL,1,5,25,U6,FT2232HL,,,,,
LTST-C190KGKT,Lite-On,DK,160-1435-1-ND,LED GREEN CLEAR 0603 SMD,led005,GREEN,2,10,50,"D3X, DS2",GREEN,,,,,
LTST-C230KGKT,Lite-On,DK,160-1456-1-ND,LED GREEN CLEAR 1206 REV MT SMD,led006,GREEN,1,5,25,DS1,GREEN,,,,,
SJ1-3515-SMT-TR,CUI,DK,CP1-3515SJCT-ND,CONN JACK STEREO 5POS 3.5MM SMD,con016,SJ1-3515-SMT-TR,1,5,25,J4,HEADPHONES,,,,,
LME49721MAX/NOPB,Texas Instruments,DK,296-41312-1-ND,IC OPAMP AUDIO 20MHZ RRO 8SOIC,icopamp005,LME49721,5,25,125,"U19, U20, U21, U22, U23",LME49721,,,,,
LMV358IDR,Texas Instruments,DK,296-9571-1-ND,IC OPAMP GP 1MHZ RRO 8SOIC,icopamp004,LMV358,1,5,25,U24,LMV358,,,,,
MB2011SB1W03-DA,NKK Switches,DK,MB2011SB1W03-DA-ND,SWITCH PUSHBUTTON SPDT 6A 125V,sw0005,MB2011SB1W03,1,5,25,SW1,MB2011SB1W03-DA,,,,,
MBR0520LT1G,ON Semiconductor,DK,MBR0520LT1GOSCT-ND,DIODE SCHOTTKY 20V 500MA SOD123,diodes006,MBR0520,4,20,100,"D1, D3, D4, D5",MBR0520LT,,,,,
